Username,Rating,Ulasan
Iwan Manalu,5 bintang,Icon khas kota surabaya yang terletak di area kebon binatang surabaya..
Rendy Testidia,5 bintang,Enak bngt tempat nya bersih.. Cocok buat bw si buah hati.. Bisa mengetahui hewan yg jarang yg kita lihat.. Anak sy senang sekali
Nikmatul Azizah,5 bintang,Kebun binatangnya luas banget sampai belum keliling semua tapi udah capek banget. Tapi waktu ke kebun binatang ada banyak banget bocil- bocil sedang mewarnai jadinya kayak bukan liat binatang malah liat bocil wkwk
Tita,5 bintang,"Kebun Binatang Surabaya merupakan tempat yang nyaman sekali untuk liburan bersama keluarga terutama jika memiliki anak-anak.
Jalan setapaknya juga bagus, kandangnya terawat. Ada wisata perahu dan sepeda air."
saepul official,5 bintang,"Tempat wisata yang bagus,dan menyenangkan..cocok untuk semua kalangan..harganya juga masih terjangkau..banyak tempat yang indah yang bisa di jadikan untuk berpoto dan beristirahat"
Krisna Yurindra,5 bintang,"Tempat,suasana menyenangkan untuk orang tua yang ingin mengajak anaknya refreshing,bertamasya,belajar mengenal hewan sekaligus rekreasi. Anak saya sangat antusias dan suka sih,padahal masih usia 9 bulan tapi dia ceria senang banget bisa melihat berbagai macam hewan hewan.
Tempat rekreasi yang ekonomis murah di kantong lah. Pokoknya the best KBS"
Maya Ratna,5 bintang,"Sudah banyak sekali kemajuan di kebun binatang surabaya ini. Tempat lebih bersih, lebih rindang sehingga udara didalam nya lebih seger, dan banyak spot2 poto yg bagus juga. Untuk hewan2 nya juga tempat nya lebih bersih tidak bau, lebih terawat pokok nya. Harga tiket murah banget,.😄😄 …"
em.shohib al`haroueΠ,5 bintang,"Cukup untuk membuat edukasi anak, untuk tempat nyaman,bersih,sejuk,
Tapi entah kenapa setiap wisata pasti untuk pergi ke toilet harus bayar, padahal toilet tersebut fasilitas untuk pengunjung"
Ast Pray,5 bintang,Tempat Wisata  Keluarga terjangkau dan terbaik di Surabaya
Afifah Jee,4 bintang,"Habis diperbarui, byk spot foto, tp hewannya krg lengkap, jaraknya jg jauh jd kl difoto ga begitu jelas hewannya, ga ky dulu. Tp cocok lah buat refreshing soalnya tempatnya jg sejuk"
Dafi Starjet,5 bintang,"City tour tidak lupa berkunjung ke kbs yang luas dan pastinya pakai jasa @starjet_tourtravel (instagram) 0812 3537 2620 pelayanan maximal & travel yang sudah berkredibel 😊❤️ paket tur, sewa elf-bus dll …"
Nur Aini Indah Hermianty,4 bintang,"Petugas perawatan kurang pagi atau bisa juga kurang banyak, terlihat saat pintu masuk dibuka petugas masih bersih2 dan memberi makan hewan. Sehingga banyak hewan yang masih berada di dalam sangkarnya, blm siap di area display."
Tri Santosa,5 bintang,"Bersih, nyaman, hewan terawat dengan baik 👍👍👍"
Ervin Kurnia,4 bintang,"KBS sekarang lebih bagus daripada yg dulu, cuma hewan2'nya kayaknya lebih sedikit. Di bagian aquarium contohnya, kita masuk bayar lagi per orang/anak 15k, anakku 4th jg kena karcis (2 karcis 30rb) sudah bayar penuh tapi di dalam aquariumnya banyak yg kosong g da ikan e... Untuk tempat lebih bersih, dingin, banyak spot foto yg instagramable... Semoga kedepannya makin baik lagi kebun binatang surabaya..."
Ahmad Barizi,4 bintang,"Keren sih tempatnya, tapi untuk masuk ke dunia aquarium disana harus bayar lagi"
Olivia Sulistyawati,4 bintang,"Makin bagus, mulai ada perbaikan di bbrp tempt, meskipun masih ada yg kurang, setidaknya banyak perubahan. Tp lebih bersih lah, dan mulai tampak terawat.
Koleksi hewan masih belum sebanyak dulu.
Harimau, singa panther dll kayaknya kok uda ga ada ya.
Aquarium ikan laut nya jg nyaris kosong, dulu banyak warna warni.
Tp ok, lumayan buat alternatif jalan anak2."
Dicky Firmansyah A.,5 bintang,"Salah satu tempat wisata keluarga yang dapat dijangkau oleh semua orang. Terletak di pusat kota Surabaya, menjadikan kebun binatang ini dikunjungi oleh banyak wisatawan domestik dari berbagai kota di Jawa Timur.
Untuk parkir mobil, saya sarankan untuk parkir di gedung parkiran dishub yang menjadi satu lokasi dengan terminal Joyoboyo. Di luar juga ada patung yang menjadi ikon kota Surabaya"
Titis Ekasari,4 bintang,"Di hari weekend suasana ramai
Beli tiket gampang tanpa harus antri, bisa bayar cash / pun qris, HTM nya 15 rb
Semoga kebun binatang Surabaya bisa lebih dikembangkan"
Cah Rantau,5 bintang,Merantau pertama berkunjung dikebun binatang yg luas
PT. ESTU PUNDI PERSADA,5 bintang,"Tempatnya sekarang bersih, varian ""penghuni"" nya tidak sebanyak dulu, cuma monyet yang melimpah. Overall bagus untuk edukasi anak dan keluarga, bisa jadi tempat edukasi setiap 2 minggu sekali"
Tery Luana Madasari,1 bintang,"Pelayanan tidak ramah, yang ramah hanya penanggung jawabnya saja.
Bayar rombongan paket edukasi mahal2 tidak worth it sekali. Pertama dan terkahir kesini. Terimakasih
Anak2 hampir banyak yang ditinggalkan pemandunya"
Indah Sari,5 bintang,Dulu pernah beli via online skrg uda ga bisa. Tp skrg uda bisa bayar pakai qris
Novia Damayanti,5 bintang,"Harga masih 15ribu per orang . Paling enak jalan klo pas hari biasa aja hehe . Klo sabtu minggu penuh . Enak juga pas nuansa ramadhan , jalanan lenggang jadi puas lihat tiap hewannya."
Kustanti Minami Hashimoto,5 bintang,"Terakhir kesana tahun 2019. Sudah ada banyak perubahan yang lebih baik.
Bersih dan bagus buat foto2.
Mungkin bisa dipertimbangkan untuk menambah lahan parkir, kami parkirnya jauuuh banget saat itu.
Untuk tiket masih tetap murah."
achmad yahkyah,5 bintang,"Karena sudah lama saya tidak ke sini, jd kemarin weekend saya ke sini sama istri, dan alhamdulillah seneng sekali, udah bersih, hewan2 pun terlihat sehat, cuma di bagian kandang rusa ada sebagian rusa yg kelihatan kurus.
overall is ok

Htm 15k/orang
Masuk ke aquarium 15k/orang"
Om Krey,3 bintang,Maaf sedikit saran aja. Untuk petugas sering² keliling untuk menegur pengunjung yang merokok di dalam area karena banyak anak kecil bahkan balita yang berada dalam KBS. Terima kasih
kurnia antika,5 bintang,"Lumayan rame pas kesini, jadi Kya kurang leluasa mau foto² sama liat hewan² nya.
Tapi sejauh mata aku liat nya tempatnya bener² bersih, toilet nya juga bersih banget dan gak bau😁"
nunung suyanti,3 bintang,"Yg sy soroti kenapa harga jajanan,minuman di dalam mahal sekali contoh indomil botol kecil diluar 4500 d dalam 10.000,jd image nya mahal mahal ...KBS bukan taman safari kebayakan masyarakat menengah kebawah ...saran  sy cm itu saja dikontrol lah soal harga krn semua orang sdh ngerti"
Namaku Bang_Ali,3 bintang,"Pernah antar teman kesini, dan tempatnya cukup menarik untuk dikunjungi keluarga"
Yohana kusuma,5 bintang,"Sdh bnyk pembenahan didlmnya..cmn ada beberapa binatang yg dulu ada skrg tdk ada(panther,singa,kancil)sprtny koq gak ada ya..apa mgkn saya yg kurang jeli..hehehe..unk PKL yg ada didlm area sprtnya hrs ada pembenahan supaya lbh rapi.suasana nyaman dan bagus buat edukasi unk anak2 tentang jns2 binatang😊 …"
RUDI KA,5 bintang,"Tempat luas sejuk banyak pepohonan sangat nyaman untuk liburan keluarga,terutama untuk edukasi anak-anak pengetahuan tentang satwa.
Bisa bermain,bercanda,bersama anak-anak sambil belajar."
tawel liya,5 bintang,.tempatnya sejuk asik untuk bersama keluarga...
nabilla nurul,4 bintang,"Kali ini kami membawa orang tua kami u/ berkunjung ke KBS. Dulu pernah sekali kesini bawa anak 1 saja dan itu berasanya tempat masih luas banget lebih nyaman. Kali ini kami dgn 3 anak dan 2 ortu, suasana nya agak kurang nyaman ya mungkin krna peek season jg. Tp KBS tetep bersih👍
Oia, u/ kasih mkan hewan batas jam 2 siang ya guys. Jgn kyk kami yg gk kedapetan krna datang jam 2 lewat🤦‍♀️"
Verena Christabel,5 bintang,Tempat wisata edukasi cocok untuk mengisi liburan anak. Tempatnya cukup luas dengan berbagai macam satwa. Fasilitas lengkap dan pelayanan oke
Tri Sayekti,5 bintang,"Ramai pengunjung, tapi tetep bersih."
a hikmat nuruloh,5 bintang,"Enggak nyesel liburan ke kebun binatang d kota surabaya ini, sangat menarik sekali sayang kalo temen-temen semua nggak liburun kesinih,,,,apalagi d saat libur panjang ini,,,,"
Chalik Maulana,1 bintang,"Bagian tidak menyenangkan banyak calo parkir, pintu masuk buka dan parkiran dalam kosong ketika mau masuk pintu ke parkiran langsung ditutup pake water barier oleh petugas parkir kbs, dan disanalah para calo parkir bermain dan ditarik 25 rb, dan saya akhirnya tdk jd parkir & masuk, tiket 15 rb perkepala, didalam ini itu bayar cukup mahal hewanya kurus² kasian, dihitung2 mending ke taman safari prigen, puas hewan lengkap dan terbuka dan naik ini itu sdh free"
novia muryanii,5 bintang,"Tempat wisata yg wajib di kunjungi bareng sama keluarga selain liburan bisa jadi tempat edukasi anak"".. selain itu tempatnya juga asri sejuk dan instagrambel banget.. pokoknya wajib berkunjung ke sini"
Adi Santoso,3 bintang,"Lumayan, ada banyak hewannya.
Anak anak suka.
Bisa ditingkatkan lagi kebersihannya biar lebih greget.kemudian untuk rutenya sebaiknya dikasih lebih jelas seperti tanda panah atau peta kecil"
Louis jo,5 bintang,"Udah lama banget ni kebun binatang dan menjadi wisata edukasi yang cocok untuk anak-anak maupun keluarga. Banyak satwa yang ada di kebun binatang ini dan lumayan lengkap seperti gajah, beruang, jerapah, dan lain-lain. Fasilitas pun juga lengkap untuk keperluan pengunjung"
Prize Valianto,5 bintang,Wisata edukasi legendaris sejak jaman saya masih kecil & sekarang untuk anak-anak saya
Zebra No,5 bintang,Tempat wisata keluarga 😍 kalo bawah anak2 pasti mereka senang 🤩🤩 dan Disediakan banyak tempat duduk untuk menunggu/istirahat sejenak sambil buka bekal🤭😍 …
Pak Jemono,4 bintang,Alhamdulillah sdh ada perbaikan yg lumayan dibandingkan tahun sebelumnya.dan sekarang perubahannya luar biasa.lebih bagus lebih tertata dan lebih nyaman buat pengunjung.jadi lebih mengasikkan jika healing ke KBS.good and ok.
chanel Lalakilangit,5 bintang,"Tempat rekreasi yang sangat edukatif.
Selain sarana berlibur dengan keluarga yang asik, juga menambah wawasan dan pengetahuan.
Serta ditunjang fasilitas yang sangat bagus"
Aishima Guna Praja,5 bintang,"Tempat wisata sekaligus edukasi buat anak-anak.. paket komplit, refreshing, makan2 sekalian belajar juga.. tempat duduk banyak jangan takut pegel..🤩🤩👍👍👍 …"
M.Syauqi_ Fakhri,5 bintang,Tempat ini sangat cocok untuk tempat belajar sekaligus belajar bersama putra-putri Anda. Dan di kebun binatang ini juga banyak sekali koleksi hewan hewan dan lain sebagainya.
Muhammad Fauzi Nurrahman,5 bintang,Berkunjung ke KBS sangat menarik. Bisa menjadi bahan pembelajaran mengenai satwa dan semua spesies hewan yang blm bnyak orang tau
Agus3tri,5 bintang,"Tempat rekreasi dan edukasi mengenai fauna khas Indonesia dan beberapa fauna dari belahan dunia lain. Koleksinya lengkap, tertata dan terjaga dengan baik. Dari mulai fauna darat, air maupun udara, semua ada, semua terawat. Tempatnya luas, asri, rindang dan bersih. Ada juga centra kuliner, panggung hiburan, tempat santuy dan tempat ibadah. Semua fasilitas terjaga dan tertata rapi. Harga tiket masuk juga terjangkau."
Devita Maswaya,5 bintang,"Tempat wisata edukasi keluarga khususnya anak-anak, bisa family gathering, atau reakreasi anak TK dsb. Tempat nya asri, nyaman dan banyak hewan2 nya..disarankan membawa stroller utk yg bawa balita 🥰 …"
Angelika Daxkcg,5 bintang,"Tempat wisata yang sangat pas buat ajak keluarga liburan nih, memperkenalkan anak"" untuk melihat macam"" hewan, anak"" pasti akan senang jika diajak liburan kesini"
Pujo utomo,5 bintang,"Oke, bagus, merakyat.
Mungkin kedepannya perlu disediakan smoking area, mengingat himbauan melalui banner tidak cukup untuk menghentikan tindakan merokok di dalam kawasan. Terlebih lagi, surabaya zoo lebih banyak didatangi wisatawan yg datang bersama anaknya."
チャイChay,5 bintang,"Kebun Binatang Surabaya (KBS)
●Tiket masuk KBS Rp 15.000 per orang, bayi tidak dihitung
Optional di dalam KBS :
●Tiket masuk akuarium Rp 30.000 per orang
●Memberi makan jerapah Rp 100.000 per tiket, sepertinya bisa satu keluarga maksimal 5 orang
●Memberi makan domba di area Kids Zoo Rp 25.000
●Berfoto bersama satwa iguana atau ular Rp 20.000
●Bisa makan bekal di dalam area luas KBS tapi tidak diperkenankan membawa tikar.
Parkir untuk mobil di wilayah KBS agak susah karena pagi sudah penuh 😮‍💨 sebelum masuk KBS, banyak calo2 parkir yang menjajakan jasa mereka 'saya pandu pak, saya pandu buk' katanya, pernah pakai jasa itu 1x dan waktu bayar Rp 20.000 🫣
Untuk yang mengendarai mobil, saran saya parkir di terminal joyoboyo saja, ada petunjuk untuk ke arah sana. Beberapa kali ke KBS, saya parkir disana. Bayar tiketnya hanya Rp 5.000 😃 luas, adem, dan meski dapat parkir di atas, bisa naik lift tuk turun kebawah."
Rini Winaraih,3 bintang,Dulu masuk langsung keliling banyak binantang sekarang masuk banyak spot2 jualan🤣 …
Qurata Ajuni,5 bintang,"Sekarang jadi baguuussss, bersiiihhh banget. Tiket masuk murah. Tp tiket akuarium masih lumayan hehehe. Cb tiket disamakan dgn di depan. 30rb terlalu tinggi."
Akasha Shop,5 bintang,Wisata edukasi hewan untk anak². Fasilitas lengkap dan sangat nyaman. Bwa stroler dan ckup air mnun ya gaes d cuaca yg ckup terik belakangan ini
Ardan Sisma,5 bintang,Kok binatang agak kurusan ya.. Ky singa sm harimaunya kurus banget
Riska Puja Novianti,5 bintang,"Tolong ya disediakan fasilitas pojok asi untuk ibu yg menyusui
kmrn saya kesana nyari nyari tempat pojok asi gk ada disayangkan sekali tempat seluas itu, tempat wisata yg banyak anak kecil dan bayi tp tidak disediakan"
eep syaepullah,5 bintang,"Menyenangkan, edukasi dan rekreasi keluarga...mantaaapppppp"
winda wanerin,5 bintang,"Cocok untuk anak2. Tiket masuk murah, cuma harus bayar lagi untuk atraksi dan wahana di dalamnya, yg mana lebih mahal.."
Niswatun Masruroh,5 bintang,"lokasi bersih,dan mudah dijangkau,recomended buat yg mau ngajak jalan2 anak"
OkiJeli Official,5 bintang,"Kebun Binatang yang berada di tengah kota Surabaya, sebagai jantung kota Surabaya, dengan ikon patung Sura dan Baya, Mengajak keluarga dan anak2 untuk berlibur kebun binatang dan setelahnya bisa keliling ke kota Surabaya karena aksesnya mudah dan dekat."
Ajat Sudrajat,5 bintang,"Sangat cocok buat berlibur sama keluarga dan bawah anak2, tiket juga murah lokasi luas tempat duduk banyak  sediain tempat"
Amrulloh Ibnu,5 bintang,Tempat yang recomended utk rekreasi keluarga terutama anak anak. Tiket terjangkau.
Rizki Bagus,5 bintang,menyenangkan sekali. rasanya butuh lebih dari 1 hari untuk bisa menikmati semua wahana disini. wahananya lumayan lengkap dan tamannya ditata dengan rapi. makin banyak spot selfie dibanding 20 tahun yg lalu. perfect sih buat liburan ketimbang harus ke mall. sayang koleksinya banyak berkurang dibanding dulu
Ika A Rohmawati Binti Rahmanto,4 bintang,"Lumayan ada perbaikan dari kondisi kemarin. Banyak wahana baru seperti Bird of Prey Show, Kids Zoo, 3D Animation Show, Kids Swimming Pool, wahana hewan-hewan air dan reptil. Hampir semua wahana yg disebutkan diatas dikenakan biaya tambahan, hanya Kids Zoo saja yg free. HTM tetap 15rb, tidak diperbolehkan membawa makanan dan minuman dari luar KBS

Lumayanlah, versi ekonomis untuk yg pengen ke Taman Safari Prigen tapi kepentok budget dan jarak.."
Peter Indrajaya,5 bintang,"Salah satu jujukan wisata surabaya yg legendaris
Dengan tiket masuk 15rb rupiah, pengunjung bisa melihat banyak satwa yg menarik dan cukup bersih
Banyak tenant makanan dengan harga yg cukup murah, membuat belanja makanan minuman tidak kuatir di getok
Sayang harga utk naik gajah cukup mahal utk sebagian pengunjung
Saran untuk pengunjung baru: sebaiknya parkir di terminal joyoboyo utk kemudian berjalan kali"
Achmad Ansori,4 bintang,"Tiket 15 rb sudah dpt keling"" lihat hewan"
Devi novitarini,5 bintang,"Asri tempatnya , masih sama seperti dulu.. murah juga cuma 15rb masuknya"
TAUFIK FATKUR,1 bintang,"Didepan pintu masuk Preman bisa seenaknya menghadang bis & masuk ke bis, padahal isinya anak TK. A dan ibu-ibu,   rombongan otomatis masuknya lebih jauh karena bis diminta parkir Preman diluar area..."
Rizt Anthoni,5 bintang,"Dibanding tahun² sebelumnya, Kebun Binatang Surabaya sekarang mulai berbenah memperbaiki pelayanan, tontonan, hewan yang ada dikandang ataupun lingkungannya lebih tertata rapi.
Mgkn sedikit yg perlu dikoreksi,pembelian makanan hewan dibagian Jerapah,dinilai terlalu mahal 100rb,beberapa sayuran yg ditempatkan dikeranjang kecil.
Sebernarnya banyak yg minat beli tp dengan harga segitu jadi mikir kembali."
Akhmad Fakharuddin,5 bintang,"KBS atau kebun binatang surabaya dulu disebut bonbin adalah salah satu tempat wisata sekalian edukasi yang apik dengan harga terjangkau.

Mengenalkan anak anak tentang fauna menjadi menyenangkan dengan pengalaman secara langsung. Di dalam KBS juga terdapat spot spot foto yang bagus dan instagramable. Beberapa tempat juga menyediakan jasa foto bersama ular dan burung secara berbayar.

Binatang yang ada di KBS terlihat sehat dan aktif. Maka pemberian makan tanpa pengawasan pihak KBS sangat berbahaya dan melanggar aturan mengenai pemeliharaan satwa. Oleh karena itu kita harus mengindahkan peraturan yang berlaku di dalan KBS.

Juga terdapat kedai makanan ringan hingga tempat makan berat yang menyediakan menu menu yang biasa kita makan. Ada soto ayam, nasi pecel, nasi campur, dan beberapa menu hidangan lain.

Berwisata di KBS selain murah, aman, menyenangkan, lokasinya juga ada di pusat kota. Jika selesai berwisata kita bisa meneruskan rekreasi ke mall mall surabaya yang ada di sekitar."
Fendy4all,1 bintang,JANGAN PARKIR disekitar/diluar KBS banyak preman. Tarif >= 20 rb boss... Pak Walikota minta tolong tertibkan sebelum VIRAL
Kresna Pratiwi,4 bintang,"Sebenarnya tempatnya rindang & nyaman, instagramable juga sayang koleksi hewannya kurang banyak & msk ke hewan malam + aquarium harus bayar 30rb lagi"
Wahyu Alfiandy,5 bintang,"Tempat Edukasi Hewan kepada anak²
Parkir sepeda motor 5rb
Keluar masuk dengan menunjukan stnk
Tiket masuk 15rb
Siapkan fisik prima
Karena luas sekali 🤗🤗"
Bang Ali7,4 bintang,"Kebun Binatang Surabaya (KBS) merupakan kebun binatang yang terletak di kota Surabaya, Jawa Timur, Indonesia. KBS didirikan pada tahun 1916 dan merupakan kebun binatang tertua di Indonesia. KBS memiliki luas area sekitar 15 hektar dan menampung berbagai macam jenis hewan dari dalam dan luar negeri, seperti harimau, singa, jerapah, beruang, gajah, dan masih banyak lagi. Selain itu, KBS juga memiliki atraksi hewan laut seperti lumba-lumba dan hiu.

KBS memiliki berbagai fasilitas untuk pengunjung, seperti area bermain untuk anak-anak, restoran, toilet, dan tempat parkir. KBS juga melakukan berbagai kegiatan edukasi dan konservasi untuk meningkatkan kesadaran masyarakat tentang pentingnya menjaga keberadaan satwa liar dan habitatnya.

Sebagai kebun binatang yang telah berdiri selama lebih dari 100 tahun, KBS merupakan destinasi wisata yang menarik bagi pecinta binatang di Indonesia. Namun, perlu diingat bahwa saat mengunjungi kebun binatang, kita harus tetap memperhatikan kesejahteraan hewan dan lingkungan sekitar untuk menjaga keberlangsungan hidup satwa liar dan habitatnya."
Adam Shofiyullah,5 bintang,KBS. Cocok buat belajar untuk anak anak.
Bintang Berlian AS,5 bintang,"Tempat yang asyik untuk liburan dan bersantai sambil melihat berbagai jenis satwa, letaknya sangat strategis karena berada di tengah kota"
Suhartatik Dewi,5 bintang,"Wisata keluarga yang murah, ramah di kantong, dari malang bisa naik Kereta Api"
Murtia Ningsih,5 bintang,"Tambah cantik dan Berkreasi
Suka jadi main kesini lagi"
agung setiawan,4 bintang,"Sarapan sik Luurrr,, nang jero kbs ndak ono warung makan"
Sabrina Aisah,5 bintang,"Jadi super bersih gilaaaa beda bgt dari yg dulu. Masuknya 15rb. Ada makanan minuman di dalem cuma emang cukup mehong yaa

Es teh gelasan itu minimal 8rb, tahu isi gorengan 1bj tuh 5rb haha"
gendot rusdiono,5 bintang,"Makin bagus tempatnya,banyak taman2 bagus untuk foto bersama keluarga & tidak kumuh lagi. Wisata edukasi yg cocok bagi keluarga & anak2. 👍🏻👍🏻👍🏻"
Intan permatasari,5 bintang,"Tetep jadi tempat wisata lokal favorit sejak jaman kecil... tempat di tengah kota surabaya, terjangkau sekali untuk lokasi, tiket masuk, serta transportasi.

Cuman kebersihannya aja perlu ditingkatkan lagi.
Kalau mau feeding the animals, KBS sedia sayuran dlm gelas cup. Mihil bet bok. 1 cup 25k. Boleh kali yak sbelum masuk bawa dari luar... 25k sayuran udah dpt sekresek"
Helmy Ghatod,4 bintang,"orang utannya minta makan, memang karena lapar atau memang kebiasaan hewan nya ya?"
Marcelina Dwi Safira,5 bintang,"bagus kesana pas hari senin jadi tidak begitu ramai, tiket 15rb. hewan nya banyak tempat nya luas dan adem banyak pohon besar"
CHEF PEWE GAMING,3 bintang,Masih blum maksimalnya perwtan dan bila tmpat parkiran dlm penuh parkiran liar di luar tarifnya sangat semau tukang parkirnya mlbihi parkir di dlam area KBS
Hilman Abdurrahman,5 bintang,"Suka banget dengan tempat kebun binatangnya, sangat bersih dan indah + luas juga, rekomendasi banget buat ajak keluarga yah.. 👍👍"
Khosati,5 bintang,"Semakin bagus dan nyaman,cuma kecewa sama petugas toilet yg krng mengenakkan.bukan masalah bayar nya,LBH sopanlah bicara.terima kasih"
esty aningtyas,5 bintang,"Kebun Binatang Surabaya..
Destinasi wisata yang bisa dinikmati semua umur.
Banyak spot foto yang menarik.
Kebersihan sangat baik.
Hewan-hewan terawat dengan baik.
Ada beberapa wastafel ternyata tidak berfungsi."
Jamal Rastafara,5 bintang,"Sini kawan ngk usah bingung buat liburan langsung aja datang ke kebun binatang surabaya banyak hewan""menggemaskan loo lucu"" menarik"
Dinna Indriani,4 bintang,"Tambah bagus, banyak spot foto yg keren.....kandangnya banyak yg sudah di renovasi, beberapa diganti kaca sehingga lebih menarik. Sayang masih banyak sampah bekas bungkus makanan/minuman (pengunjung blom punya kesadaran tinggi mengenai buang sampah pada tempatnya)."
PREMAN SD,5 bintang,Libur nataru mantap pengunjung ramai
irfan k,4 bintang,"Pengelolaan sudah lebih baik, parkir mobil dan motor sudah rapi dengan paving block jadi tidak becek. Bagian Aquarium disponsori Pelindo III.

Beli tiket via website tiket.surabayazoo.co.id lalu dibayar online via transfer, setelahnya via Whatsaap akan dikirim QR Code untuk masuk ke pintu masuk KBS.

Antrian biasa terjadi pada para pengunjung yang belum siap beli online sehingga antri untuk dibukakan website di Handphone pengunjung, lalu antri di ATM. Bila Anda familiar dengan cara klik website maka klik saja sendiri dan tidak perlu antri, lebih baik lagi bila punya M-banking di handphone jadi tidak perlu antri di ATM di Kebun Binatang ini.

Paling bagus klik website sejak dari rumah lalu transfer, bisa di ATM manapun daripada di kebun binatang."
zesica Syafa,5 bintang,"Tempat nya bersih, bagus, cocok untuk anak-anak"
Seira J. Loyard,4 bintang,"Mantap sih bagus, tapi sayangnya waktu lebaran mobil pribadi gak ada parkirnya, di suruh parkir diluar atau di terminal..."
Bestie Ngetrip,4 bintang,"Tempatnya luaass, sejuk asri banyak pohon-pohonnya, bersih, satwanya lumayan banyak. Ada mushola, ada kulineran juga. Toiletnya bersih. Ok lah untuk wisata edukasi anak2. Kalo pas weekend rame bangeet.."
Romy Mahyudin,5 bintang,Tempat edukasi yang fun buat keluarga terutama untuk anak-anak..semoga kedepannya makin banyak nambah satwanya biar makin seruu
Betta Wahyu R.M,5 bintang,Sudah lumayan baik. Namun perlu perawatan lagi ketika musim kemarau. Beberapa tanaman kelihatan kering
agustin sarah wanti,5 bintang,"kesini tanggal 02 Februari 2021, booking jarus onljne.. waktu berkunjung weekday jd enak sepii. makin bagus, bersih dan makin rindang.. harga tiket 15ribu weekday, protokol kesehatannya pun oke.. banyak terdapat wastafel cuci tangan. topp deh"
Ikrar Mujahid,5 bintang,Surabaya Zoo sangat inspirasi dan fasilitas sangat baik sekali
Doni Setiyabudi,5 bintang,"Lebih tertata dan menarik,serta terawat"
agungugang,4 bintang,"Tempatnya cukup luas cocok buat yang suka Jalan dan melemaskan otot kaki. Isinya ya cuma binatang saja namanya juga zoo, Ada monyet, berbagai jenis burung, kudanil, gajah dll. Tiket masuk tahun 2020 rp.15k per orang"
Adinda rzq,5 bintang,"Kebun Binatang tempat paling cocok buat liburan keluarga, dan edukasj si kecil.
Tidak hanya tempat liburan saja, melainkan kebun binatang bisa jadi tempat untuk acara pentas seni.
Tiket masuk yang cukup murah hanya 15.000/org dan parkir 5.000"
dewy Novi,5 bintang,"2 hr berturut kesini
Nyaman adem ditengah cuaca hot minggu ke2 dan ke 3 bulan nov
Banyak spot buat selpih 😍😍😍
Tiket by online gampang bngt
Love KBS"
Amanah Puspaningtyas,4 bintang,"Kebun Binatang Surabaya kini lebih tertata rapi. Meskipun masih ada beberapa yang kurang terawat, tapi iyu menjadikan tempat yang memiliki kesan alami. Rindang, banyak terdapat pohon besar. Satwanya juga cukup banyak. Nyaman sebagai tempat wisata keluarga. Hewan ditempatkan sesuai denahnya sehingga mudah mencari. Terdapat diskripsi singkat pula sebagai tambahan wawasan bagi pengunjung. Cocok untuk piknik dengan keluarga. Terdapat kantin dan masjid di dlamnya sehingga tidak usah khawatir ketinggalan sholat, hhe."
sultan maulana,5 bintang,Kebun binatang nya sangat rapih dan kebersihan nya terjaga
Moonstar Moonstar,5 bintang,Wah kebun binatang ini cocok sekali mengajak anak agar bisa mengetahui sekaligus mengenalkan anak tentang hewan berbagai jenis
alf fiyan,1 bintang,"Overall sih bagus tempatnya
Tapi. Murah juga tiketnya
Tapi untuk emergency responnya sangat buruk
Gak ada klinik
Gak ada mobil yang siap untuk keadaan darurat
Anak saya jatuh dan berdarah. Sudah di bawa ke pos, katanya mau di jemput mobil. Sampai 15 menit gak dateng2. Akhirnya saya pesen gocar. Gak sampai 5 menit sudah sampai
Satu lagi ini tempat wisata anak. Tapi gak ramah anak. Masih banyak jalur air yang tidak ada penutupnya."
amanda putri sejati,5 bintang,"Rekomendasi tempat jalan"" + edukasi utk anak"
Zulmi Adham,5 bintang,"Lumayan, mungkin satwa nya bisa lebih variatif, dan rute berkeliling nya diarahkan satu arah supaya gak muter muter terpencar pencar"
wiwik pameliati,5 bintang,Seseru itu tempatnya kebersihanya jos.
Ekky Jorgian,5 bintang,"KBS sudah mulai beroperasi saat new normal. Petugasnya dapat menjalankan protokol kesehatan dengan baik, juga mereka tak lupa untuk selalu menghimbau pengunjung yang datang agar tetap mematuhi protokol kesehatan yang ada. Tempatnya sepi karena memang dibagi menjadi dua sesi, pagi dan siang. Hewannya masih tetap kayak dulu, lucu-lucu dan banyak kok hewan yang gendut. Bonus foto ya karena hari ini lagi jalan kesana😁"
Dea Merina,3 bintang,Sekarang uda asri banget menyenangkan lah pokoknya buat liburan dalam kota. Sayangnya hewannya kurang beragam dan beberapa kandang cuma diisi satu ekor. Kayak jerapah dll. Aquarium juga kurang oke sih dari dulu sampe selarang gada perubahan
Acep Lukman,5 bintang,"Mengenal lebih banyak binatang untuk anak-anak kita,, aman dan nyaman lah sambil makan bareng.. foto bareng hewan2 lucu.."
Rizal Fanani Abdilah,4 bintang,"Tempatnya cukup rindang untuk berkeliling, tiket masuk 15 ribu, banyak stand penjual makanan dengan harga khas tempat wisata.
Naik gajah 75 ribu per orang sudah include foto cetak, sayang hasil fotonya terkesan ala kadarnya padahal harganya tidak murah dan softfile fotonya tidak diberikan hanya cetak foto pada kertas foto yang ala kadarnya dengan foto yang diambil dengan ala kadarnya juga"
